510	3	3.09E-001	5.79E-001	92.00%	7481.54	4358.76	1.45E+000	1.96E+000	50.00%	16954.50	4609.86
515	3	5.37E-001	1.01E+000	94.00%	6129.18	4940.15	8.03E-001	1.22E+000	48.00%	16381.66	5058.25
520	3	5.53E-001	1.01E+000	78.00%	8795.66	5968.98	6.49E-001	1.12E+000	62.00%	15819.80	5222.87
525	3	8.29E+000	1.55E+001	80.00%	10336.14	5422.13	4.93E+000	8.75E+000	50.00%	15832.60	4085.12
530	3	6.02E-005	1.16E-004	96.00%	7188.14	4148.68	4.16E+000	6.67E+000	54.00%	15136.22	3306.28
535	3	8.26E-002	1.52E-001	92.00%	9916.92	5923.55	7.45E+000	1.28E+001	50.00%	17182.48	4314.20
540	3	1.87E-001	3.49E-001	88.00%	9004.36	6212.58	7.16E-001	1.19E+000	66.00%	16285.82	4744.10
545	3	1.13E+000	2.09E+000	82.00%	8381.88	7005.39	1.02E+000	1.61E+000	54.00%	18543.34	4671.84
550	3	1.63E+000	3.05E+000	86.00%	7439.92	5124.80	3.01E+000	4.99E+000	50.00%	15587.74	4932.15
555	3	3.97E-001	6.98E-001	78.00%	9252.76	7211.96	5.19E+000	8.82E+000	44.00%	18683.88	4569.39
560	3	9.15E-002	1.59E-001	76.00%	8927.58	6406.61	2.70E+000	4.00E+000	30.00%	19486.46	4400.39
565	3	2.52E-001	4.67E-001	86.00%	9980.00	6662.60	5.18E+000	9.03E+000	58.00%	18112.88	4763.14
570	3	4.57E-001	8.04E-001	84.00%	7774.80	6071.02	2.25E+000	3.65E+000	48.00%	19691.24	3947.96
575	3	4.13E-002	7.89E-002	92.00%	8247.92	5837.17	5.48E-001	9.10E-001	66.00%	17506.58	4950.79
580	3	5.43E-001	1.01E+000	88.00%	8402.12	5592.71	4.72E-001	8.62E-001	64.00%	18510.42	4216.46
585	3	7.90E-003	1.49E-002	94.00%	8271.64	6072.74	1.88E+000	2.83E+000	50.00%	19180.90	4558.31
590	3	2.42E-003	4.64E-003	96.00%	7617.88	5891.88	7.69E-001	1.32E+000	70.00%	18293.10	4374.54
595	3	6.27E+000	1.18E+001	84.00%	7900.36	5284.70	2.16E+000	3.69E+000	52.00%	19425.88	3328.88
