[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066415, 64.1584782648815, 84.0591079870758)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(0.820433721328399, 84.8294156020326, 48.2882732271362)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556543561, 21.5007814711888)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121788665, 89.9686327612986)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156020326, 48.2882732271362)]	1	4	8	80.00	18926	1.91326686829112
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.84223090663662, 64.1584782704936, 84.0591079062533)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338116199, 33.2996322001709)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556560364, 21.5007814656472)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.84223090663662, 64.1584782704936, 84.0591079062533)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156054079, 48.2882732336442)]	1	4	9	80.00	20533	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782705413, 84.0591078989215)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338167786, 33.2996321998948)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.178555656643, 21.5007814707958)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782705413, 84.0591078989215)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156030147, 48.2882732288667)]	1	4	10	80.00	22110	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782680006, 84.0591079037963)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338153192, 33.2996321961127)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556578579, 21.5007814669246)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782680006, 84.0591079037963)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156037091, 48.2882732331168)]	1	5	0	80.00	7708	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782724201, 84.0591079011375)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338125808, 33.2996322031706)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.178555656707, 21.5007814660564)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782724201, 84.0591079011375)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156032778, 48.2882732301899)]	1	5	1	80.00	9244	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782706121, 84.0591079026644)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338153856, 33.2996322027883)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338153856, 33.2996322027883)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121793419, 89.9686327611228)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721331568, 84.8294154934669, 48.2882732284303)]	1	5	2	80.00	10811	1.90852583661205
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782696924, 84.0591079004631)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338184101, 33.2996321992246)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556559585, 21.5007814685096)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782696924, 84.0591079004631)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156046349, 48.2882732330769)]	1	5	3	80.00	12401	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782700824, 84.059107904049)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338148209, 33.2996322000864)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556517537, 21.5007814673017)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121817071, 89.9686327600145)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(10.3867680627791, 62.4513338148209, 33.2996322000864)]	1	5	4	80.00	14026	1.91326686829014
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782708139, 84.0591079025402)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(0.820433721392916, 84.8294150979173, 48.2882731822427)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556533258, 21.5007814662992)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121830409, 89.9686327609168)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721392916, 84.8294150979173, 48.2882731822427)]	1	5	5	80.00	15618	1.91326686829014
[(3.8422309066366, 64.1584782694273, 84.059107901556)(24.7132681611522, 95.2735121823314, 89.9686327608155)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.451333817047, 33.2996321999112)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556521117, 21.5007814666246)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121823314, 89.9686327608155)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156030616, 48.2882732311082)]	1	5	6	80.00	17214	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782669555, 84.0591078996599)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338118719, 33.2996322017467)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556551506, 21.5007814700048)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782669555, 84.0591078996599)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.829415609988, 48.2882732265455)]	1	5	7	80.00	18832	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782669644, 84.0591079036467)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3889721530962, 62.4503144247214, 33.3016962123654)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556561853, 21.5007814680062)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121782201, 89.9686327643102)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156111325, 48.2882732297926)]	1	5	8	80.00	20464	0.000440818063430015
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.84223090663662, 64.1584782646337, 84.0591078986818)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.4127258275167, 62.4437659439948, 33.3019043307845)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.178555656522, 21.5007814676215)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121799786, 89.9686327623321)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156054185, 48.2882732325177)]	1	5	9	80.00	22029	0.00519155294751528
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782677699, 84.059107900673)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338176245, 33.2996322000903)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972460875, 33.178556372459, 21.5007816736457)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782677699, 84.059107900673)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156120521, 48.2882732272684)]	1	5	10	80.00	23644	4.17420745095337
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782707421, 84.0591079018754)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338133353, 33.2996322018101)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556572413, 21.500781466894)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782707421, 84.0591079018754)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156103286, 48.2882732291361)]	1	6	0	80.00	9199	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782715879, 84.0591079012126)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338142429, 33.2996322017403)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556561548, 21.5007814669883)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121786594, 89.9686327601605)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156042293, 48.2882732248052)]	1	6	1	100.00	10754	0
